1stFlrSF,2ndFlrSF,BsmtFinSF1,GarageArea,GrLivArea,LotArea,OverallCond,OverallQual,TotalBsmtSF,YearBuilt
1679,0.0,1138,575,1679,8125,5,6,1408,1994
1478,0.0,189,442,1478,8400,3,6,1478,1957
928,0.0,377,252,928,13300,7,5,928,1956
846,846.0,0,650,1692,13159,5,7,846,2009
661,589.0,0,552,1250,5362,6,5,661,1910
847,886.0,0,433,1733,12394,5,7,847,2003
716,716.0,425,432,1432,7795,5,7,716,2004
1077,0.0,851,205,1077,7420,6,5,991,1939
944,0.0,0,528,944,10206,3,3,0,1952
1419,0.0,945,567,1419,8089,6,8,1419,2007
960,0.0,0,288,960,8926,3,4,672,1956
1646,0.0,0,870,1646,10656,5,8,1638,2006
999,0.0,784,300,999,10205,5,5,925,1962
779,0.0,0,308,935,9100,6,5,742,1930
1392,1070.0,57,576,2462,19378,5,7,1392,2005
1302,0.0,270,309,1302,9350,7,6,1302,1964
936,0.0,936,672,936,7200,5,5,936,1980
864,0.0,646,336,864,7000,8,5,864,1978
820,527.0,969,0,1347,7000,7,5,1117,1910
990,0.0,686,672,990,9245,5,5,990,1994
1636,971.0,152,0,3086,18030,6,5,1598,1946
1337,0.0,699,531,1337,8450,5,7,1337,2003
694,348.5240174672489,0,936,1214,10410,4,3,672,1915
1368,0.0,0,474,1368,6792,5,7,1368,2005
1212,0.0,36,460,1212,10420,5,6,1212,2009
1080,0.0,570,288,1080,9464,7,6,1080,1958
804,878.0,505,523,1682,8750,5,6,804,1998
790,784.0,712,566,1574,18800,5,6,796,1976
691,807.0,592,409,1498,13031,5,6,691,1995
920,941.0,700,492,1861,13450,5,7,916,2002
1258,0.0,0,648,1258,3922,5,7,1258,2006
1253,0.0,733,352,1253,10920,5,6,1253,1960
1484,0.0,712,606,1484,8400,5,7,1473,2004
1163,511.0,0,396,1674,21780,7,6,1163,1918
864,0.0,191,463,864,8120,7,4,864,1970
1128,445.0,0,360,1573,6240,7,5,1078,1930
1734,0.0,1300,660,1734,11645,5,7,1734,2005
495,1427.0,0,672,1922,7301,5,7,0,2003
1340,0.0,0,252,1340,9060,6,5,0,1957
698,728.0,535,440,1426,7950,6,6,690,1977
720,0.0,0,484,720,8520,8,6,624,1928
1301,1116.0,0,462,2417,16059,5,8,1288,1991
796,566.0,732,480,1362,14115,5,5,796,1993
951,0.0,285,327,951,8765,6,4,951,1936
783,701.0,0,393,1484,10237,5,6,783,2005
773,582.0,0,0,1355,6882,7,6,684,1914
694,0.0,365,352,694,4280,6,5,440,1913
1029,0.0,903,261,1029,7943,5,4,1029,1961
1097,896.0,416,495,1993,14803,5,6,825,1971
793,325.0,507,410,1118,7800,7,5,793,1939
713,739.0,450,506,1452,3735,5,7,691,1999
804,744.0,556,440,1548,2308,6,6,804,1976
2392,0.0,56,968,2392,13472,5,10,2392,2003
1040,0.0,824,308,1040,7500,5,5,1040,1963
1182,960.0,448,509,2142,13000,6,6,896,1968
1088,871.0,0,1025,1959,9000,5,8,1088,2006
1080,0.0,680,0,1080,7500,5,7,1080,2004
703,689.0,0,540,1392,3604,5,7,689,2007
988,0.0,827,572,988,9945,5,5,988,1961
1098,880.0,552,486,1978,9900,5,7,832,1968
1588,348.5240174672489,1162,472,1588,10264,5,7,1588,1999
1478,0.0,578,484,1478,4403,5,7,1470,2009
2121,0.0,0,732,2121,14450,5,9,2121,2006
1301,0.0,0,572,1301,7200,5,7,1293,2006
1241,0.0,1106,569,1241,4274,5,7,1241,2006
1523,0.0,644,478,1523,11361,5,6,1193,1976
1344,0.0,1309,784,1344,7060,5,7,1344,1997
1240,0.0,0,826,1240,8556,5,7,1240,2006
1120,1120.0,0,528,2240,7018,5,5,0,1979
1440,0.0,678,467,1440,12546,7,6,1440,1981
864,0.0,0,280,864,9353,5,4,864,1970
1680,0.0,144,583,1680,10140,5,7,1650,1998
944,545.0,0,240,1489,9900,7,6,778,1940
1349,0.0,0,539,1349,8450,5,7,1349,2000
901,0.0,0,281,901,6000,7,4,901,1954
810,348.5240174672489,387,484,1603,7153,5,6,761,1992
1152,0.0,0,300,1152,14000,8,6,1092,1950
1072,0.0,547,525,1072,3675,5,5,547,2005
2259,0.0,35,450,2259,21000,5,6,1809,1953
1040,0.0,532,484,1040,8800,7,5,1040,1977
1258,0.0,1198,400,1258,12900,4,4,1198,1969
697,804.0,518,420,1501,7685,5,6,697,1993
1466,348.5240174672489,16,610,1466,8925,5,8,1466,2007
1053,0.0,806,312,1053,10007,7,5,1053,1959
1752,0.0,456,576,1752,7658,5,9,1752,2005
1494,348.5240174672489,1443,514,1494,16196,5,7,1482,1998
1425,0.0,490,576,1425,10175,5,6,1425,1964
1702,0.0,1540,1052,1702,8769,5,9,1702,2008
1800,0.0,0,702,1800,11923,5,9,1800,2007
1272,928.0,1084,0,2200,8777,7,5,1272,1900
833,833.0,0,228,1666,5100,7,8,588,1925
1392,1392.0,790,564,2784,16692,5,7,1392,1978
1131,0.0,168,672,1131,5925,7,4,907,1937
792,725.0,0,400,1517,11435,7,8,792,1929
1120,0.0,206,0,1120,8402,5,5,1120,2007
812,670.0,0,392,1482,9125,5,7,384,1992
864,0.0,524,576,864,10500,6,4,864,1971
1188,348.5240174672489,1000,531,1188,12160,5,5,1188,1959
778,798.0,0,614,1576,8125,5,7,770,2006
960,0.0,789,576,960,9873,5,4,960,1970
1574,0.0,24,824,1574,11957,5,8,1574,2006
997,348.5240174672489,0,0,1517,8500,7,5,793,1919
1464,0.0,444,480,1464,12886,6,5,520,1963
1277,1067.0,0,889,2344,10208,5,7,1264,1996
1358,0.0,720,484,1358,8198,5,7,1358,2004
948,742.0,0,463,1690,8063,5,6,924,2000
1382,0.0,672,884,1382,19296,5,6,1362,1962
888,676.0,0,476,1564,8400,6,6,650,1980
1306,0.0,900,624,1306,5381,5,6,1306,2005
1137,348.5240174672489,980,551,1137,13811,6,6,1112,1987
988,0.0,0,520,988,21750,5,5,988,1954
576,533.0,349,288,1109,10500,7,5,372,1971
1134,0.0,588,254,1134,7000,7,5,1010,1960
1548,1066.0,956,624,2614,10800,7,6,1522,1974
865,445.0,617,398,1310,7000,6,6,617,1924
1080,348.5240174672489,336,484,1080,9187,5,6,1084,1983
1496,636.0,1441,612,2132,12327,8,8,1496,1983
1222,698.0,0,487,1920,10192,6,7,570,1968
734,348.5240174672489,0,440,1118,4400,8,6,648,1920
1704,348.5240174672489,1218,772,1704,11478,5,8,1704,2007
861,0.0,262,539,861,12342,5,4,861,1940
1041,702.0,384,539,1743,11700,6,6,702,1968
483,504.0,321,280,987,1869,6,6,483,1970
1220,0.0,684,632,1220,7406,5,7,1199,2006
1402,0.0,0,648,1402,3922,5,7,1258,2006
848,0.0,662,420,848,4435,5,6,848,2004
990,0.0,746,480,990,8072,5,5,990,1994
1357,0.0,719,312,1357,11512,7,6,1019,1959
1535,0.0,2,532,1535,10171,5,7,1517,2004
914,0.0,298,576,914,8846,5,5,870,1996
936,316.0,0,576,1252,7438,8,5,504,1908
1003,0.0,819,588,1003,7937,6,6,1003,1984
630,348.5240174672489,509,286,630,1477,4,4,630,1970
1138,0.0,507,264,1138,10482,8,6,588,1958
858,858.0,319,490,1716,9247,6,6,858,1962
765,600.0,471,440,1365,1920,5,5,765,1971
1339,0.0,504,294,1339,7560,6,5,1029,1958
1228,0.0,767,472,1228,4671,5,8,1228,1988
778,0.0,403,924,778,6900,6,5,740,1940
1040,0.0,616,0,1040,8430,5,5,1040,1978
948,980.0,0,0,1928,7082,8,5,686,1916
1338,1296.0,500,968,2634,11643,5,5,1248,1969
1251,0.0,553,461,1251,8800,6,6,1251,1964
1476,677.0,904,736,2153,11050,5,9,1440,2000
1787,0.0,0,748,1787,14781,5,8,1753,2001
864,348.5240174672489,41,0,864,8248,3,3,864,1914
1114,348.5240174672489,646,576,1114,13695,5,5,1114,2004
1652,0.0,1196,499,1652,5330,5,8,1494,2000
1040,0.0,0,400,1040,8544,4,3,0,1950
784,0.0,784,0,784,6130,6,5,784,1924
1842,0.0,1810,894,1842,50271,5,9,1842,1981
1465,915.0,187,596,2380,18450,5,6,1021,1965
1411,0.0,822,544,1411,11900,5,7,1386,1977
1553,1177.0,28,576,2730,10380,5,7,1502,1986
1656,0.0,24,826,1656,11096,5,8,1656,2006
630,0.0,495,0,630,1890,7,4,630,1972
1472,0.0,1036,588,1472,14115,5,7,1372,1980
1392,0.0,0,576,1392,13560,3,6,1392,1968
1001,634.0,0,255,1635,5310,8,6,485,1910
864,0.0,360,288,864,9560,7,5,864,1972
1506,0.0,16,440,1506,3013,5,7,1362,2005
1006,1040.0,866,871,2046,10625,5,7,998,2003
1454,482.0,0,504,1936,11194,5,8,1406,2000
1888,0.0,247,578,1888,16492,6,6,1517,1966
1236,0.0,465,288,1236,6993,7,5,912,1961
1370,0.0,0,479,1370,10400,5,7,1090,1976
1040,0.0,0,400,1040,8544,4,3,0,1949
575,560.0,350,576,1135,7200,9,7,560,1936
864,0.0,432,0,864,10500,5,4,864,1971
1099,0.0,0,352,1099,9525,6,5,1099,1995
979,871.0,595,467,1850,29959,6,7,973,1994
825,587.0,0,280,1412,6000,6,6,780,1939
896,896.0,0,0,1792,9000,5,5,896,1974
833,0.0,415,326,833,5400,7,5,833,1954
1152,0.0,0,0,1152,6040,5,4,0,1955
1478,0.0,1270,498,1478,17600,5,6,1478,1960
720,564.0,312,240,1284,3500,7,5,720,1947
892,783.0,0,502,1675,24682,5,6,841,1999
936,840.0,0,474,1776,14006,5,7,936,2002
920,866.0,486,608,1786,11250,5,7,920,2001
1262,0.0,978,460,1262,9600,8,6,1262,1976
1088,0.0,0,461,1088,3696,5,8,1074,1986
1360,0.0,1036,565,1360,5814,5,8,1220,1984
770,812.0,490,520,1582,8320,5,7,770,2004
976,332.0,428,256,1308,9600,7,5,728,1940
1431,0.0,560,666,1431,9017,5,7,1431,1999
1429,0.0,594,572,1429,14585,6,6,1144,1960
1095,844.0,0,1053,1939,10728,5,8,1095,2006
864,0.0,0,0,864,4060,8,5,864,1922
1426,1519.0,0,641,2945,13682,5,10,1410,2006
1314,0.0,936,552,1314,8640,5,8,1300,2009
1836,0.0,24,484,1836,9100,5,7,1860,2004
866,348.5240174672489,329,0,866,3880,9,5,686,1945
1569,0.0,988,660,1569,3635,5,7,1386,2007
1690,1589.0,1416,841,3279,53504,5,8,1650,2003
4692,950.0,5644,1418,5642,63887,5,10,6110,2008
983,756.0,649,480,1739,2645,5,8,970,1999
755,755.0,0,296,1510,9084,5,4,755,1940
1050,745.0,0,352,1795,12150,5,5,1050,1954
694,600.0,0,0,1294,10800,7,4,0,1900
2084,348.5240174672489,1636,1220,2084,14803,5,10,2078,2007
1766,0.0,1121,478,1766,9187,5,9,1766,2009
2000,704.0,1410,538,2704,13860,7,8,1952,1972
520,0.0,0,240,520,6324,6,4,520,1927
1020,1037.0,223,180,2057,11500,7,7,1017,1936
1694,0.0,0,776,1694,10475,5,8,1694,2008
842,630.0,0,250,1472,9600,8,5,702,1925
1276,804.0,0,282,2080,10918,9,7,1276,1926
988,517.0,399,240,1505,9144,5,5,883,1940
1586,0.0,0,435,1586,17043,5,6,1362,1979
929,929.0,0,0,2229,5520,6,6,755,1912
956,1128.0,656,618,2084,10142,5,7,956,2004
1080,672.0,427,492,1752,12134,7,8,559,1988
960,780.0,410,240,1740,13125,6,7,800,1940
847,1101.0,0,434,1948,12393,5,7,847,2004
897,439.0,637,570,1336,11040,6,4,637,1920
894,0.0,894,552,894,9800,7,5,894,1972
1980,0.0,1447,770,1980,16737,5,9,1980,2004
753,741.0,547,213,1494,7500,7,6,771,1942
1048,348.5240174672489,580,288,1558,10930,6,5,913,1945
1294,348.5240174672489,0,662,1294,6762,5,7,1286,2006
2136,0.0,756,528,2136,10680,3,5,2136,1951
672,546.0,317,264,1218,1680,7,6,672,1972
1719,0.0,1619,473,1719,10846,5,8,1719,1993
2402,0.0,1767,672,2402,15431,5,10,3094,2008
1664,862.0,168,216,2526,8520,7,6,714,1916
708,0.0,280,0,708,5330,7,4,420,1940
581,530.0,0,288,1111,7200,7,5,530,1920
